iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds,dt_sec,calc_gain_mHa,calc_gain_per_kdet
0,1001,-2086.3886574849967,262.175830366232,1000,487.398272520295,487.398272520295,1818,33.24401036351635,0.0873704798252429,-0.0002296233415108,-77.85071010700503,5.192,5.192,,
1,2001,-2086.52560742264,125.225892722938,1000,136.949937643294,136.949937643294,97649,0.0061156555110602,0.0717731043020082,-0.8423264671841935,-0.6410357265859791,12.428,7.236000000000001,136.949937643294,136.949937643294
2,3001,-2086.576466379656,74.366935707531,1000,50.858957015407,50.858957015407,307484,0.0011141059182628,0.0416063678286333,-1.5537928804747023,-0.1906774527365227,19.075,6.6469999999999985,50.858957015407,50.858957015407
3,4001,-2086.60121461578,49.618699582879,1000,24.748236124651,24.748236124651,423984,0.0005443713161698,0.0347718075582947,-2.221054939812348,-0.0790717031477848,26.042,6.967000000000002,24.748236124651996,24.748236124651996
4,5001,-2086.61309456671,37.738748652828,1000,11.879950930052,11.879950930052,513006,0.0006493446560258,0.0440526582088262,-2.988608094722622,-0.0463017417573979,32.798,6.756,11.879950930051002,11.879950930051002
5,6001,-2086.6199172684624,30.916046900529,1000,6.822701752299,6.822701752299,586153,2.915897077612863e-05,0.0059342273636362,-1.2076919543455915,-0.0325268981091055,38.333,5.534999999999997,6.822701752299,6.822701752299
6,7001,-2086.6245692199823,26.264095380611,1000,4.651951519918,4.651951519918,630982,1.398115182922868e-05,0.0060169254313888,-2.589442707517719,-0.0261847592551386,43.623,5.289999999999999,4.651951519918001,4.651951519918001
7,8001,-2086.628009826142,22.823489221082,1000,3.440606159529,3.440606159529,668108,6.731951401620269e-06,0.0041736165484727,-2.587522406874996,-0.0216597414033276,48.804,5.1810000000000045,3.4406061595290005,3.4406061595290005
8,9001,-2086.6306627403815,20.170574980966,1000,2.652914240116,2.652914240116,692107,4.637845246231011e-06,0.0032158229108272,-2.2298107083684044,-0.0186370147935789,54.115,5.311,2.652914240116001,2.652914240116001
9,10001,-2086.632908580647,17.924734715962,1000,2.245840265005,2.245840265005,712229,3.707406633932368e-06,0.0028234165876704,-2.150204176302396,-0.0162657397694292,65.984,11.868999999999993,2.2458402650039986,2.2458402650039986
10,11001,-2086.634760591964,16.072723398793,1000,1.852011317169,1.852011317169,728981,3.144081682854502e-06,0.0020802368406647,-1.3763590611711152,-0.0144557507218985,79.649,13.665000000000006,1.8520113171690014,1.8520113171690014
11,12001,-2086.6362288565247,14.604458838221,1000,1.468264560572,1.468264560572,743606,3.2082082337652648e-06,0.0018800593059833,-1.101743632727448,-0.0129654412544989,89.999,10.349999999999994,1.468264560571999,1.468264560571999
12,13001,-2086.6374569846166,13.376330745814,1000,1.228128092407,1.228128092407,755496,2.1688431115355684e-06,0.002001245892327,-1.8465997380144472,-0.0117420143490964,105.204,15.204999999999998,1.2281280924069993,1.2281280924069993
13,14001,-2086.6385273618644,12.305953498526,1000,1.070377247288,1.070377247288,764834,2.009845561629053e-06,0.0024337469160769,-2.947054323275097,-0.0106810030707883,121.355,16.15100000000001,1.0703772472880004,1.0703772472880004
14,15001,-2086.639440035676,11.393279686672,1000,0.912673811854,0.912673811854,772425,1.6881012209840811e-06,0.0023173119197305,-3.181050085489005,-0.0098115252413678,131.469,10.11399999999999,0.912673811853999,0.912673811853999
15,16001,-2086.6402694380367,10.563877325694,1000,0.829402360978,0.829402360978,779407,1.2514092605036862e-06,0.0012372629059692,-1.2232764666223377,-0.0091161760325924,145.341,13.872000000000014,0.8294023609780012,0.8294023609780012
16,17001,-2086.640991159252,9.842156110608,1000,0.721721215086,0.721721215086,785297,1.057492779307058e-06,0.0011698524061297,-1.2941503515744444,-0.0084527178815889,157.927,12.585999999999984,0.7217212150859993,0.7217212150859993
17,18001,-2086.6416210726247,9.212242738158,1000,0.62991337245,0.62991337245,788988,1.089877646090757e-06,0.0015216500111153,-2.124475866288776,-0.007861194456531,173.668,15.741000000000014,0.6299133724499999,0.6299133724499999
18,19001,-2086.6421825323287,8.650783034227,1000,0.561459703931,0.561459703931,793148,9.568849218832e-07,0.0013399672943378,-1.8764140899634183,-0.007363421113302,186.404,12.73599999999999,0.5614597039309999,0.5614597039309999
19,20001,-2086.6426874577764,8.145857586442,1000,0.504925447785,0.504925447785,796076,8.011267063108174e-07,0.0011298764493619,-1.5935316857699036,-0.0069138254940483,200.932,14.527999999999992,0.5049254477850003,0.5049254477850003
20,21001,-2086.6431555915574,7.6777238055,1000,0.468133780942,0.468133780942,798847,7.76009112249506e-07,0.0013059103761646,-2.1976570682668357,-0.0065259703705993,215.746,14.814000000000021,0.46813378094199987,0.46813378094199987
21,22001,-2086.6435861505297,7.247164833188,1000,0.430558972312,0.430558972312,801728,6.488235775027777e-07,0.0009829105138888,-1.4890227664532176,-0.0061552994447254,227.996,12.25,0.43055897231200024,0.43055897231200024
22,23001,-2086.643977013452,6.856301911284,1000,0.390862921904,0.390862921904,803167,6.9631507972759e-07,0.0013779479101981,-2.726840906507732,-0.0058251015756744,241.522,13.525999999999982,0.3908629219040005,0.3908629219040005
23,24001,-2086.6443433438967,6.489971465726,1000,0.366330445559,0.366330445559,804765,5.446856918143836e-07,0.0012512622816246,-2.8744233985680694,-0.0055211252613294,256.352,14.829999999999984,0.3663304455579999,0.3663304455579999
24,25001,-2086.6446795954753,6.153719887607,1000,0.336251578119,0.336251578119,805443,5.138815337863814e-07,0.001211360164607,-2.855509201867335,-0.0052477801043958,267.435,11.083000000000027,0.33625157811899964,0.33625157811899964
25,26001,-2086.644986457306,5.846858056884,1000,0.306861830722,0.306861830722,806164,4.3292610999075937e-07,0.0012319513701893,-3.505688715665201,-0.0050061378905164,280.401,12.966000000000008,0.3068618307230002,0.3068618307230002
26,27001,-2086.645270075953,5.563239409639,1000,0.283618647245,0.283618647245,806999,3.919062930875511e-07,0.0007549048710772,-1.4541265971679422,-0.0047668729580985,294.096,13.694999999999993,0.2836186472449995,0.2836186472449995
27,28001,-2086.645535475244,5.297840118601,1000,0.265399291038,0.265399291038,807547,3.6718201106789845e-07,0.0007883573824972,-1.692641098430613,-0.0045444879953146,307.598,13.50200000000001,0.2653992910380003,0.2653992910380003
28,29001,-2086.645784224069,5.04909129404,1000,0.248748824561,0.248748824561,807965,3.178052014318555e-07,0.0008899306555804,-2.4920189102431323,-0.0043329834987676,318.089,10.490999999999985,0.2487488245609999,0.2487488245609999
29,30001,-2086.646013052557,4.820262805424,1000,0.228828488616,0.228828488616,808094,3.004521702289392e-07,0.0007577112137013,-1.9108741432332863,-0.0041391525421533,331.421,13.331999999999994,0.22882848861600014,0.22882848861600014
30,31001,-2086.6462287290524,4.604586310506,1000,0.215676494918,0.215676494918,808554,3.1643127109757744e-07,0.0006884854432635,-1.497994189833662,-0.003958705305424,341.483,10.062000000000012,0.21567649491800012,0.21567649491800012
31,32001,-2086.6464300212497,4.403294113217,1000,0.201292197289,0.201292197289,808774,2.726418489209032e-07,0.0006882832327708,-1.7375682067463458,-0.0037898185054023,356.751,15.267999999999972,0.20129219728899983,0.20129219728899983
32,33001,-2086.646620009508,4.213305855046,1000,0.189988258171,0.189988258171,808557,2.5921124605832364e-07,0.0006451269088723,-1.6055967280740333,-0.0036352716719075,371.758,15.007000000000005,0.18998825817099974,0.18998825817099974
33,34001,-2086.6468001676767,4.033147686187,1000,0.18015816886,0.18015816886,808478,2.572046552200386e-07,0.0006231146205564,-1.5095832150432216,-0.0034894934820622,385.227,13.468999999999994,0.18015816885900016,0.18015816885900016
34,35001,-2086.6469699818167,3.863333546178,1000,0.169814140008,0.169814140008,808123,2.310768164573267e-07,0.0004579455488765,-0.9075515620779696,-0.0033484971014139,399.692,14.465000000000032,0.16981414000900008,0.16981414000900008
35,36001,-2086.647131303723,3.702011639689,1000,0.161321906489,0.161321906489,807882,2.528385724132855e-07,0.0005285447108301,-1.1048927728079434,-0.0032145518193664,411.767,12.074999999999989,0.1613219064889999,0.1613219064889999
36,37001,-2086.6472825292008,3.550786161668,1000,0.151225478021,0.151225478021,807535,2.1734512879493034e-07,0.0005406897540783,-1.3450745907498458,-0.0030914857983463,422.44,10.673000000000002,0.15122547802100028,0.15122547802100028
37,38001,-2086.6474267034723,3.406611890568,1000,0.144174271099,0.144174271099,807305,1.9396090760674842e-07,0.0005469217233289,-1.542183809820017,-0.0029713171728561,435.544,13.103999999999985,0.1441742710999998,0.1441742710999998
38,39001,-2086.647562856974,3.270458388215,1000,0.136153502353,0.136153502353,806910,1.8485708309397686e-07,0.0005666352331398,-1.7368849603249146,-0.0028610451196407,445.841,10.297000000000025,0.13615350235300028,0.13615350235300028
39,40001,-2086.647691753636,3.141561726807,1000,0.128896661408,0.128896661408,806433,1.717031302524205e-07,0.0005220981396612,-1.5875451253396022,-0.0027519315348472,462.901,17.060000000000002,0.1288966614079996,0.1288966614079996
40,41001,-2086.6478148443166,3.018471045834,1000,0.123090680972,0.123090680972,805912,1.7216493464405779e-07,0.0006065935427136,-2.137228041369781,-0.0026514243893309,480.823,17.92199999999997,0.12309068097300013,0.12309068097300013
41,42001,-2086.6479311465455,2.902168816945,1000,0.116302228889,0.116302228889,805325,1.5786873019453257e-07,0.0004792203012018,-1.454702883851951,-0.0025573343067125,498.869,18.04600000000005,0.11630222888899988,0.11630222888899988
42,43001,-2086.6480423847374,2.790930624997,1000,0.111238191948,0.111238191948,804863,1.4874525342734656e-07,0.0005071666236202,-1.729251711820325,-0.002461797030666,516.082,17.212999999999965,0.11123819194800033,0.11123819194800033
43,44001,-2086.648148376595,2.684938767743,1000,0.105991857254,0.105991857254,804360,1.3616145900141798e-07,0.0004757342941908,-1.6621672559112994,-0.002367564822752,531.757,15.674999999999955,0.10599185725399973,0.10599185725399973
44,45001,-2086.648248017721,2.585297641872,1000,0.099641125871,0.099641125871,803850,1.413837589600995e-07,0.0005768276846043,-2.3533833035226053,-0.002285665724807,548.244,16.48700000000008,0.09964112587099994,0.09964112587099994
45,46001,-2086.6483417761992,2.491539163657,1000,0.093758478215,0.093758478215,803441,1.2152444582004086e-07,0.0003659725513313,-1.1021314059421456,-0.0022078605187437,563.53,15.285999999999945,0.09375847821500027,0.09375847821500027
46,47001,-2086.648429841057,2.403474305993,1000,0.088064857664,0.088064857664,802835,1.227238159769357e-07,0.0005068036677437,-2.092910455838592,-0.0021306302495482,576.49,12.960000000000036,0.08806485766399996,0.08806485766399996
47,48001,-2086.648514107556,2.319207806977,1000,0.084266499016,0.084266499016,802212,1.0376623410666357e-07,0.0003417656945259,-1.125643529037916,-0.0020600428949287,591.532,15.04200000000003,0.08426649901600003,0.08426649901600003
48,49001,-2086.648594470212,2.238845151169,1000,0.080362655808,0.080362655808,801489,1.0272454121334804e-07,0.0003165899603195,-0.9757084508846674,-0.0019871703030923,605.425,13.892999999999915,0.08036265580799995,0.08036265580799995
49,50001,-2086.648671046375,2.162268987831,1000,0.076576163337,0.076576163337,800756,9.515654505623973e-08,0.000357244958172,-1.341200020071028,-0.0019198183949359,619.321,13.896000000000072,0.07657616333799977,0.07657616333799977
50,51001,-2086.6487448783478,2.088437015573,1000,0.073831972259,0.073831972259,800124,8.776319087179973e-08,0.0004149232844889,-1.9616576186549537,-0.0018546257430769,634.178,14.856999999999971,0.07383197225800009,0.07383197225800009
51,52001,-2086.648815115064,2.018200298608,1000,0.070236716965,0.070236716965,799507,8.504414285039972e-08,0.000295486040554,-1.026666825438042,-0.0017953426033939,643.444,9.265999999999963,0.07023671696500022,0.07023671696500022
52,53001,-2086.648882781262,1.95053410107,1000,0.067666197538,0.067666197538,798669,8.532587576074278e-08,0.0002718540757908,-0.8661456781451307,-0.0017383098330788,657.012,13.567999999999984,0.06766619753799996,0.06766619753799996
53,54001,-2086.6489472039907,1.886111372187,1000,0.064422728883,0.064422728883,797822,8.184227094943539e-08,0.0004547499447149,-2.5267812075499023,-0.001679646940529,670.692,13.680000000000064,0.06442272888299994,0.06442272888299994
54,55001,-2086.6490095649383,1.823750424592,1000,0.062360947595,0.062360947595,796967,9.081661318578969e-08,0.0003824808588726,-1.6108463228492838,-0.0016290670618315,686.389,15.697000000000003,0.062360947594999994,0.062360947594999994
55,56001,-2086.6490693614123,1.763953950558,1000,0.059796474034,0.059796474034,796099,7.335502794692709e-08,0.0003091257757192,-1.3026884167120445,-0.0015800029450998,695.963,9.573999999999955,0.05979647403400001,0.05979647403400001
56,57001,-2086.6491263343287,1.706981033749,1000,0.056972916809,0.056972916809,795268,7.69050321496946e-08,0.0003004818062784,-1.1740365146538352,-0.0015319393712056,705.837,9.874000000000024,0.056972916809000074,0.056972916809000074
57,58001,-2086.64918081055,1.652504812228,1000,0.054476221521,0.054476221521,794457,7.29826501888785e-08,0.0003166729374795,-1.3740491619914792,-0.0014834884360588,714.833,8.995999999999981,0.05447622152099996,0.05447622152099996
58,59001,-2086.6492333308133,1.599984549557,1000,0.05252026267,0.05252026267,793638,6.997003683364512e-08,0.0003365032958387,-1.6183279762958591,-0.0014368873933795,723.338,8.504999999999995,0.05252026267099996,0.05252026267099996
59,60001,-2086.6492836292605,1.549686102408,1000,0.05029844715,0.05029844715,792773,7.354119513311521e-08,0.000372560140949,-1.8873919355364703,-0.001392860237763,731.979,8.641000000000076,0.050298447149,0.050298447149
60,61001,-2086.6493322519223,1.501063440628,1000,0.04862266178,0.04862266178,791935,5.982502771349807e-08,0.0003016611040257,-1.521092846255215,-0.0013515455616626,743.515,11.535999999999945,0.048622661780000076,0.048622661780000076
61,62001,-2086.649379057477,1.454257886053,1000,0.046805554575,0.046805554575,791038,5.6859969236984474e-08,0.0002898352730688,-1.4773923841703436,-0.0013102335098898,753.121,9.605999999999995,0.04680555457499991,0.04680555457499991
62,63001,-2086.649423854681,1.409460681316,1000,0.044797204737,0.044797204737,790136,5.8026688862773335e-08,0.0003884923648373,-2.600981039843191,-0.001270888147869,769.751,16.629999999999995,0.044797204736999996,0.044797204736999996
63,64001,-2086.6494672232943,1.366092068565,1000,0.043368612751,0.043368612751,789306,5.3822625038226314e-08,0.000314257815314,-1.8348784440713644,-0.00123196654451,780.829,11.077999999999975,0.04336861275100001,0.04336861275100001
64,65001,-2086.649509154452,1.324160911281,1000,0.041931157284,0.041931157284,788404,5.1929807985513785e-08,0.0002422376207579,-1.1299688403782966,-0.0011941061502068,790.297,9.468000000000075,0.04193115728399999,0.04193115728399999
65,66001,-2086.6495492987515,1.284016611407,1000,0.040144299874,0.040144299874,787509,5.698013700865496e-08,0.0003286064675092,-1.8950851324298128,-0.0011593221836288,801.705,11.408000000000015,0.04014429987400003,0.04014429987400003
66,67001,-2086.64958758004,1.245735322755,1000,0.038281288653,0.038281288653,786587,5.395046879011372e-08,0.0003202296982733,-1.9007630879941644,-0.0011256875385748,812.68,10.974999999999909,0.03828128865199987,0.03828128865199987
67,68001,-2086.649624528635,1.208786728057,1000,0.036948594698,0.036948594698,785695,5.1592150296060486e-08,0.0003544369857349,-2.434974625713494,-0.0010927599977146,823.539,10.859000000000037,0.03694859469800016,0.03694859469800016
68,69001,-2086.649660020553,1.173294809632,1000,0.035491918425,0.035491918425,784771,4.401746196959696e-08,0.0002226798172157,-1.126514314466931,-0.0010609465915003,835.208,11.668999999999983,0.03549191842499999,0.03549191842499999
69,70001,-2086.6496940062434,1.13930911948,1000,0.033985690152,0.033985690152,783847,4.0762722007817594e-08,0.0002224186452863,-1.2136101647361102,-0.0010299350438037,845.313,10.105000000000018,0.033985690151999925,0.033985690151999925
70,71001,-2086.64972671237,1.106602992877,1000,0.032706126603,0.032706126603,782888,3.9764254927829454e-08,0.0002221720177656,-1.2413260494290626,-0.0010009114024145,855.082,9.769000000000005,0.032706126602999985,0.032706126602999985
71,72001,-2086.649758272574,1.075042788671,1000,0.031560204206,0.031560204206,781972,3.9988772554780384e-08,0.0002946814678792,-2.1715387085846487,-0.0009735847313401,866.35,11.268000000000029,0.03156020420600014,0.03156020420600014
72,73001,-2086.649788545169,1.044770193403,1000,0.030272595268,0.030272595268,781005,3.521102119900622e-08,0.0002558287865115,-1.8587466588387545,-0.0009461448781938,875.868,9.518000000000029,0.030272595267999858,0.030272595267999858
73,74001,-2086.649817803064,1.015512298636,1000,0.029257894766,0.029257894766,780048,3.8529567048504686e-08,0.0002006430932419,-1.0448508496092472,-0.0009202539409747,884.593,8.724999999999909,0.029257894767000137,0.029257894767000137
74,75001,-2086.64984594375,0.987371613064,1000,0.028140685572,0.028140685572,779075,3.6980864297525546e-08,0.0001959341694992,-1.0381098307625507,-0.0008954570053981,892.791,8.198000000000093,0.02814068557199989,0.02814068557199989
75,76001,-2086.6498730180756,0.960297287293,1000,0.027074325772,0.027074325772,778133,3.8916930050213034e-08,0.0002342279697368,-1.4097397131858995,-0.0008710646079075,904.878,12.086999999999989,0.027074325770999996,0.027074325770999996
76,77001,-2086.649899153182,0.934162180783,1000,0.026135106509,0.026135106509,777171,3.3431058727700354e-08,0.0002805008029873,-2.35352105110951,-0.0008472866860222,912.677,7.798999999999978,0.02613510651000006,0.02613510651000006
77,78001,-2086.6499244043,0.908911062652,1000,0.025251118132,0.025251118132,776246,3.2086704302436224e-08,0.0002411270180972,-1.8120352376627125,-0.0008251677669238,923.369,10.692000000000007,0.025251118131000005,0.025251118131000005
78,79001,-2086.649948829351,0.884486011728,1000,0.024425050924,0.024425050924,775303,2.8785003144782422e-08,0.0002341277006083,-1.9043173251170629,-0.0008034060708655,933.312,9.942999999999984,0.024425050923999936,0.024425050923999936
79,80001,-2086.6499723583174,0.860957045006,1000,0.023528966722,0.023528966722,774327,2.8595608094014974e-08,0.0001711900813693,-1.0248442300267016,-0.0007813942373605,944.704,11.391999999999939,0.023528966722,0.023528966722
80,81001,-2086.649995243508,0.838071855014,1000,0.022885189992,0.022885189992,773356,2.7721642871998307e-08,0.0001729276796679,-1.0787233113642287,-0.000760823765452,955.087,10.383000000000038,0.022885189992000066,0.022885189992000066
81,82001,-2086.65001728002,0.816035343178,1000,0.022036511837,0.022036511837,772393,2.711255373340775e-08,0.0002292928306954,-1.93914607695433,-0.0007405359136469,965.989,10.902000000000044,0.022036511835999972,0.022036511835999972
82,83001,-2086.650038681428,0.794633934674,1000,0.021401408503,0.021401408503,771422,2.5142750849392277e-08,0.0001730496460726,-1.1910462854780235,-0.0007216212970714,975.315,9.326000000000022,0.021401408503999964,0.021401408503999964
83,84001,-2086.650059333156,0.773982206738,1000,0.020651727937,0.020651727937,770453,2.7575046330639657e-08,0.0002017442296191,-1.4759987597694817,-0.0007029341750727,987.053,11.737999999999943,0.02065172793600001,0.02065172793600001
84,85001,-2086.6500793464857,0.753968877234,1000,0.020013329504,0.020013329504,769487,2.7852842405794626e-08,0.0001646441625093,-0.9732471771985728,-0.000684986361567,996.983,9.92999999999995,0.020013329504000033,0.020013329504000033
85,86001,-2086.650098737349,0.734578014089,1000,0.019390863145,0.019390863145,768504,2.7767357002014143e-08,0.0002100959194931,-1.5896469867284395,-0.0006677828420212,1006.496,9.513000000000034,0.019390863144999937,0.019390863144999937
86,87001,-2086.650117494235,0.715821127869,1000,0.01875688622,0.01875688622,767530,2.346204772733633e-08,0.0001648928820363,-1.158878494420151,-0.0006506699577034,1017.242,10.745999999999981,0.018756886220000046,0.018756886220000046
87,88001,-2086.6501357226675,0.69759269536,1000,0.018228432509,0.018228432509,766550,2.1256753106104436e-08,0.0001348685475124,-0.8557057146654188,-0.0006345593520309,1026.849,9.606999999999971,0.01822843250899997,0.01822843250899997
88,89001,-2086.650153179782,0.680135580751,1000,0.017457114609,0.017457114609,765569,2.1862207534266687e-08,0.0001790311829128,-1.466099176167063,-0.0006188553942885,1038.313,11.46400000000017,0.017457114609000013,0.017457114609000013
89,90001,-2086.650170243196,0.663072166844,1000,0.017063413907,0.017063413907,764579,2.1159922007846176e-08,0.00016450966338,-1.2789947588362338,-0.0006038972234957,1048.334,10.020999999999958,0.017063413906999947,0.017063413906999947
90,91001,-2086.6501868286737,0.64648668922,1000,0.016585477624,0.016585477624,763591,1.9683123709186946e-08,0.0001902229385796,-1.8383650327309624,-0.0005894953295756,1058.687,10.352999999999838,0.01658547762400009,0.01658547762400009
91,92001,-2086.6502028912205,0.6304241424,1000,0.01606254682,0.01606254682,762597,1.9900706497543305e-08,0.0001992772065911,-1.99547714909977,-0.0005753944036702,1068.54,9.853000000000065,0.016062546819999968,0.016062546819999968
92,93001,-2086.6502184607834,0.614854579453,1000,0.015569562947,0.015569562947,761613,2.076327170168849e-08,0.000185912512058,-1.664644312144901,-0.0005615010343021,1079.775,11.235000000000127,0.01556956294699996,0.01556956294699996
93,94001,-2086.6502336311487,0.599684213739,1000,0.015170365714,0.015170365714,760623,2.7011438188419382e-08,0.0001881565587568,-1.3106629256935776,-0.0005481028980491,1090.961,11.185999999999922,0.01517036571399999,0.01517036571399999
94,95001,-2086.6502482615206,0.58505384186,1000,0.014630371879,0.014630371879,759635,1.9219496667339385e-08,0.0001597118348538,-1.3271872117088606,-0.0005347917429462,1101.105,10.144000000000005,0.01463037187900007,0.01463037187900007
95,96001,-2086.650262451377,0.570863986013,1000,0.014189855847,0.014189855847,758650,1.8775431916722437e-08,0.0001676059357914,-1.4961972559203789,-0.0005221541369436,1112.198,11.093000000000075,0.014189855846999944,0.014189855846999944
96,97001,-2086.650276226736,0.55708862692,1000,0.013775359093,0.013775359093,757668,1.6580267040025572e-08,0.0001520938707139,-1.3951853400731125,-0.000510056371877,1124.291,12.092999999999847,0.013775359092999984,0.013775359092999984
97,98001,-2086.6502895507288,0.543764633676,1000,0.013323993244,0.013323993244,756680,1.686452495594535e-08,0.0001255651842655,-0.9348982874303148,-0.0004979019027078,1133.163,8.872000000000071,0.01332399324400002,0.01332399324400002
98,99001,-2086.650302500608,0.530814755166,1000,0.01294987851,0.01294987851,755690,1.5162903314514213e-08,0.0001291636522109,-1.100267455804442,-0.0004860377073156,1142.103,8.940000000000055,0.012949878510000068,0.012949878510000068
99,100001,-2086.6503150797835,0.51823557942,1000,0.012579175745,0.012579175745,754698,1.6186324206690708e-08,0.0001656481778084,-1.6952161874969534,-0.0004746224788532,1151.535,9.432000000000016,0.012579175745999982,0.012579175745999982
100,101001,-2086.650327271643,0.506043719724,1000,0.012191859696,0.012191859696,753704,1.5856200463728493e-08,0.0001371123491753,-1.185643202441952,-0.0004634186375028,1159.663,8.127999999999929,0.012191859696000007,0.012191859696000007
101,102001,-2086.650339037541,0.494277821872,1000,0.011765897852,0.011765897852,752706,1.4095483401694288e-08,0.0001778588978667,-2.244249923815005,-0.0004522392031549,1168.336,8.673000000000002,0.011765897851999996,0.011765897851999996
