iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,wall_seconds
0,1001,-2086.3886587609285925,262.174554434296,1000,487.399548452231,487.399548452231,1818,0.23888026354026856,4.715
1,2001,-2086.5255303495050612,125.302965857827,1000,136.871588576469,136.871588576469,97655,0.07298832390132437,12.368
2,3001,-2086.5740142884633315,76.819026899557,1000,48.483938958270,48.483938958270,300000,0.04884744626728195,21.408
3,4001,-2086.5997327321101693,51.100583252719,1000,25.718443646838,25.718443646838,300000,0.034981464319565135,30.435
4,5001,-2086.6115791484799047,39.254166882984,1000,11.846416369735,11.846416369735,300000,0.04378880539640793,39.454
5,6001,-2086.6189981981224264,31.835117240462,1000,7.419049642522,7.419049642522,300000,0.005839393900499274,48.499
6,7001,-2086.6238062006518703,27.027114711018,1000,4.808002529444,4.808002529444,300000,0.004205961521955844,57.568
7,8001,-2086.6272678898653794,23.565425497509,1000,3.461689213509,3.461689213509,300000,0.0035277661956550355,66.535
8,9001,-2086.6301312982495801,20.702017113308,1000,2.863408384201,2.863408384201,300000,0.0035978792501724258,75.604
9,10001,-2086.6324174973970003,18.415817965888,1000,2.286199147420,2.286199147420,300000,0.0026839845487212676,89.367
10,11001,-2086.6342414952114268,16.591820151461,1000,1.823997814427,1.823997814427,300000,0.0021446774200474697,104.696
11,12001,-2086.6358055675218566,15.027747841032,1000,1.564072310430,1.564072310430,300000,0.002092062838293187,122.134
12,13001,-2086.6371307449580854,13.702570404803,1000,1.325177436229,1.325177436229,300000,0.0022586704282565196,145.286
13,14001,-2086.6382457538138624,12.587561549026,1000,1.115008855777,1.115008855777,300000,0.0017967637743273967,162.280
14,15001,-2086.6392007145341267,11.632600828761,1000,0.954960720264,0.954960720264,300000,0.001645469585741658,179.110
15,16001,-2086.6400477869901806,10.785528372708,1000,0.847072456054,0.847072456054,300000,0.001436356388580699,198.957
16,17001,-2086.6407898019688218,10.043513394066,1000,0.742014978641,0.742014978641,300000,0.0012901525863059009,219.183
17,18001,-2086.6414266582482924,9.406657114596,1000,0.636856279471,0.636856279471,300000,0.00146728745219533,239.075
18,19001,-2086.6420143297391405,8.818985623748,1000,0.587671490848,0.587671490848,300000,0.001302367818814659,259.185
19,20001,-2086.6425418359049218,8.291479457966,1000,0.527506165781,0.527506165781,300000,0.0010997937173796355,283.102
20,21001,-2086.6430112596576691,7.822055705219,1000,0.469423752747,0.469423752747,300000,0.0010583263691571491,303.040
21,22001,-2086.6434471303391547,7.386185023734,1000,0.435870681486,0.435870681486,300000,0.0011505917791003134,323.939
22,23001,-2086.6438482329936051,6.985082369283,1000,0.401102654450,0.401102654450,300000,0.0010848832691907851,345.821
23,24001,-2086.6442141207999157,6.619194562973,1000,0.365887806311,0.365887806311,300000,0.0008728344622624502,366.546
24,25001,-2086.6445491683316504,6.284147031238,1000,0.335047531735,0.335047531735,300000,0.0008619465087624895,386.830
25,26001,-2086.6448611969431113,5.972118419777,1000,0.312028611461,0.312028611461,300000,0.0008773394205302418,411.110
26,27001,-2086.6451523326468305,5.680982716058,1000,0.291135703719,0.291135703719,300000,0.0010084115520574992,431.329
27,28001,-2086.6454220617351893,5.411253627699,1000,0.269729088359,0.269729088359,300000,0.0007460083521264981,452.223
28,29001,-2086.6456785111422505,5.154804220638,1000,0.256449407061,0.256449407061,300000,0.0006973205957552411,473.666
29,30001,-2086.6459111494709759,4.922165891912,1000,0.232638328725,0.232638328725,300000,0.0006937141881247595,495.334
30,31001,-2086.6461293536085577,4.703961754331,1000,0.218204137582,0.218204137582,300000,0.0006846228967522685,515.440
31,32001,-2086.6463353081126115,4.498007250277,1000,0.205954504054,0.205954504054,300000,0.0006461435505908889,536.760
32,33001,-2086.6465311614360871,4.302153926801,1000,0.195853323476,0.195853323476,300000,0.000668236007023247,557.968
33,34001,-2086.6467196254870942,4.113689875794,1000,0.188464051007,0.188464051007,300000,0.0006374374795099546,578.975
34,35001,-2086.6468926289271621,3.940686435726,1000,0.173003440068,0.173003440068,300000,0.000621689120861959,602.586
35,36001,-2086.6470524680689778,3.780847293910,1000,0.159839141816,0.159839141816,300000,0.0006238129375584162,627.760
36,37001,-2086.6472065297730296,3.626785589859,1000,0.154061704052,0.154061704052,300000,0.0006051007598628765,654.095
37,38001,-2086.6473542600242581,3.479055338630,1000,0.147730251228,0.147730251228,300000,0.000561265116511482,677.060
38,39001,-2086.6474923929404213,3.340922422467,1000,0.138132916163,0.138132916163,300000,0.0005508068545207059,702.980
39,40001,-2086.6476221099760551,3.211205386833,1000,0.129717035634,0.129717035634,300000,0.000530718962464034,726.804
40,41001,-2086.6477486701896851,3.084645173203,1000,0.126560213630,0.126560213630,300000,0.00048723601157528164,755.814
41,42001,-2086.6478683216082572,2.964993754631,1000,0.119651418572,0.119651418572,300000,0.0004871828718433262,781.843
42,43001,-2086.6479813214646128,2.851993898275,1000,0.112999856356,0.112999856356,300000,0.0004786665532111428,807.182
43,44001,-2086.6480874330300139,2.745882332874,1000,0.106111565401,0.106111565401,300000,0.0005024427425635756,833.428
44,45001,-2086.6481892973479262,2.644018014962,1000,0.101864317912,0.101864317912,300000,0.00047414189473035206,859.894
45,46001,-2086.6482842744912887,2.549040871600,1000,0.094977143362,0.094977143362,300000,0.00047490219953793807,884.914
46,47001,-2086.6483737043281508,2.459611034737,1000,0.089429836862,0.089429836862,300000,0.0004434684343522303,909.072
47,48001,-2086.6484607625493481,2.372552813540,1000,0.087058221197,0.087058221197,300000,0.00043756652127570963,935.834
48,49001,-2086.6485430440288837,2.290271334005,1000,0.082281479536,0.082281479536,300000,0.0003976463424897737,961.288
49,50001,-2086.6486221424920586,2.211172870830,1000,0.079098463175,0.079098463175,300000,0.0004105030523831641,986.052
50,51001,-2086.6486964201053524,2.136895257536,1000,0.074277613294,0.074277613294,300000,0.00039208652578096514,1015.066
51,52001,-2086.6487694917786939,2.063823584194,1000,0.073071673341,0.073071673341,300000,0.0004045687411601712,1041.267
52,53001,-2086.6488370498191216,1.996265543767,1000,0.067558040428,0.067558040428,300000,0.0003613803047984249,1067.334
53,54001,-2086.6489024386969504,1.930876665938,1000,0.065388877829,0.065388877829,300000,0.00036395541239544224,1091.380
54,55001,-2086.6489658499026518,1.867465460236,1000,0.063411205701,0.063411205701,300000,0.0003595036096771383,1115.567
55,56001,-2086.6490270044873796,1.806310875509,1000,0.061154584728,0.061154584728,300000,0.00034587199007960184,1139.835
56,57001,-2086.6490869687518170,1.746346611071,1000,0.059964264437,0.059964264437,300000,0.00034899572077172876,1172.588
57,58001,-2086.6491427433920762,1.690571970812,1000,0.055774640259,0.055774640259,300000,0.0003784563154426369,1198.064
58,59001,-2086.6491967563179060,1.636559044982,1000,0.054012925830,0.054012925830,300000,0.00033574498220790975,1224.159
59,60001,-2086.6492484006867016,1.584914676187,1000,0.051644368796,0.051644368796,300000,0.0003431154333787839,1250.228
60,61001,-2086.6492969493642704,1.536365998618,1000,0.048548677569,0.048548677569,300000,0.0003255276107025975,1280.009
61,62001,-2086.6493437160343092,1.489599328579,1000,0.046766670039,0.046766670039,300000,0.00032902643941980876,1305.032
62,63001,-2086.6493897044451842,1.443610917704,1000,0.045988410875,0.045988410875,300000,0.0002937732334865531,1330.732
63,64001,-2086.6494343451554414,1.398970207447,1000,0.044640710257,0.044640710257,300000,0.0002868343777781866,1359.486
64,65001,-2086.6494771528400634,1.356162522825,1000,0.042807684622,0.042807684622,300000,0.0003096195488291327,1385.812
65,66001,-2086.6495174363685692,1.315878994319,1000,0.040283528506,0.040283528506,300000,0.00027975378174167746,1412.318
66,67001,-2086.6495575833168914,1.275732045997,1000,0.040146948322,0.040146948322,300000,0.000282154088328864,1445.226
67,68001,-2086.6495962450990191,1.237070263869,1000,0.038661782128,0.038661782128,300000,0.00028257728684881635,1476.239
68,69001,-2086.6496323626683989,1.200952694489,1000,0.036117569380,0.036117569380,300000,0.0002673639668348225,1500.905
69,70001,-2086.6496673779306548,1.165937432233,1000,0.035015262256,0.035015262256,300000,0.00026220464001649004,1530.896
70,71001,-2086.6497004376983568,1.132877664531,1000,0.033059767702,0.033059767702,300000,0.0002466692402893579,1558.974
71,72001,-2086.6497327786255482,1.100536737340,1000,0.032340927191,0.032340927191,300000,0.0002422457791122884,1587.416
72,73001,-2086.6497642347662804,1.069080596608,1000,0.031456140732,0.031456140732,300000,0.0002429642222664318,1628.294
73,74001,-2086.6497933486907641,1.039966672124,1000,0.029113924484,0.029113924484,300000,0.0002514849333157068,1658.299
74,75001,-2086.6498217672001374,1.011548162751,1000,0.028418509373,0.028418509373,300000,0.00024870142237663013,1690.548
75,76001,-2086.6498492600480859,0.984055314802,1000,0.027492847948,0.027492847948,300000,0.0002458101454215224,1723.614
76,77001,-2086.6498757187114279,0.957596651460,1000,0.026458663342,0.026458663342,300000,0.0002501988744606864,1758.397
77,78001,-2086.6499018309436906,0.931484419198,1000,0.026112232263,0.026112232263,300000,0.00022147937376966605,1790.363
78,79001,-2086.6499271422503625,0.906173112526,1000,0.025311306672,0.025311306672,300000,0.00021933555047081745,1825.419
79,80001,-2086.6499509617096919,0.882353653196,1000,0.023819459329,0.023819459329,300000,0.00021978695657024887,1852.751
80,81001,-2086.6499743852054962,0.858930157392,1000,0.023423495804,0.023423495804,300000,0.0002170756531620757,1876.160
81,82001,-2086.6499969465062350,0.836368856653,1000,0.022561300739,0.022561300739,300000,0.00020457537811315778,1904.475
82,83001,-2086.6500189470693840,0.814368293504,1000,0.022000563149,0.022000563149,300000,0.00020050420737069787,1930.084
83,84001,-2086.6500400240920499,0.793291270838,1000,0.021077022666,0.021077022666,300000,0.0002271096647039954,1961.148
84,85001,-2086.6500610165012404,0.772298861648,1000,0.020992409191,0.020992409191,300000,0.00019937302881003645,1983.434
85,86001,-2086.6500809505746474,0.752364788241,1000,0.019934073407,0.019934073407,300000,0.00019736408239510742,2006.990
86,87001,-2086.6500999817899356,0.733333572953,1000,0.019031215288,0.019031215288,300000,0.0001938539019511471,2033.537
87,88001,-2086.6501187728376863,0.714542525202,1000,0.018791047751,0.018791047751,300000,0.00019029157793257163,2065.853
88,89001,-2086.6501369282591440,0.696387103744,1000,0.018155421458,0.018155421458,300000,0.00018489096831110608,2089.632
89,90001,-2086.6501546416129713,0.678673749917,1000,0.017713353827,0.017713353827,300000,0.00018925465642079562,2114.422
90,91001,-2086.6501717154833386,0.661599879550,1000,0.017073870367,0.017073870367,300000,0.00019009666703715463,2135.622
91,92001,-2086.6501883496621303,0.644965700758,1000,0.016634178792,0.016634178792,300000,0.00017644273964537583,2160.311
92,93001,-2086.6502043161444817,0.628999218407,1000,0.015966482351,0.015966482351,300000,0.00018763926533428107,2183.710
93,94001,-2086.6502196483652369,0.613666997651,1000,0.015332220755,0.015332220755,300000,0.00018413811665313318,2212.502
94,95001,-2086.6502344606501538,0.598854712734,1000,0.014812284917,0.014812284917,300000,0.00018102489946627707,2236.222
95,96001,-2086.6502487882967216,0.584527066167,1000,0.014327646568,0.014327646568,300000,0.00017724340632856077,2262.698
96,97001,-2086.6502628014550282,0.570513907860,1000,0.014013158307,0.014013158307,300000,0.00017515587200508836,2286.531
97,98001,-2086.6502763898815829,0.556925481305,1000,0.013588426555,0.013588426555,300000,0.0001631941498910783,2309.618
98,99001,-2086.6502894657210163,0.543849641872,1000,0.013075839433,0.013075839433,300000,0.00016417243796990977,2338.028
99,100001,-2086.6503024329194886,0.530882443400,1000,0.012967198472,0.012967198472,300000,0.0001611968734195403,2362.022
