rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,coeff_abs,coeff
1,0,0,0,63,63,0.6439145070935209,0.6439145070935209
2,78625,85,85,559,559,0.1268854799150426,-0.1268854799150426
3,79550,86,86,567,567,0.11492686663174798,-0.11492686663174798
4,79549,86,85,567,559,0.11405392298633513,-0.11405392298633513
5,78626,85,86,559,567,0.11404673109281342,-0.11404673109281342
6,3700,4,4,123,123,0.10683185980909085,-0.10683185980909085
7,78548,85,8,559,175,0.09069662715048356,-0.09069662715048356
8,7477,8,85,175,559,0.09069365162788574,-0.09069365162788574
9,8402,9,86,183,567,0.09040463316417059,0.09040463316417059
10,79473,86,9,567,183,0.0903989487560708,0.0903989487560708
11,431975,467,467,2110,2110,0.08894119535582574,-0.08894119535582574
12,197950,214,214,1085,1085,0.08892562855113753,-0.08892562855113753
13,7401,8,9,175,183,0.08746654262067367,0.08746654262067367
14,8324,9,8,183,175,0.08746329894359695,0.08746329894359695
15,25900,28,28,287,287,0.08313012665670377,-0.08313012665670377
16,8325,9,9,183,183,0.08265025240909214,-0.08265025240909214
17,8,0,8,63,175,0.08174224365881319,-0.08174224365881319
18,7392,8,0,175,63,0.08173660161150079,-0.08173660161150079
19,101750,110,110,679,679,0.07945514477446429,0.07945514477446429
20,8316,9,0,183,63,0.07618568661226818,-0.07618568661226818
21,9,0,9,63,183,0.07618509314632199,-0.07618509314632199
22,7400,8,8,175,175,0.0735057678146904,-0.0735057678146904
23,79494,86,30,567,311,0.058849998854542285,0.058849998854542285
24,27806,30,86,311,567,0.0588488995024789,0.0588488995024789
25,78569,85,29,559,303,0.05880499608680679,-0.05880499608680679
26,26881,29,85,303,559,0.058802770363201674,-0.058802770363201674
27,26805,29,9,303,183,0.05750731528397294,0.05750731528397294
28,8345,9,29,183,303,0.05750140616627379,0.05750140616627379
29,7422,8,30,175,311,0.05745695570619149,0.05745695570619149
30,27728,30,8,311,175,0.057453672295110156,0.057453672295110156
31,29,0,29,63,303,0.057321702927461034,-0.057321702927461034
32,26796,29,0,303,63,0.05731357392423987,-0.05731357392423987
33,431512,467,4,2110,123,0.05695672381503946,0.05695672381503946
34,4163,4,467,123,2110,0.05695663926243402,0.05695663926243402
35,197740,214,4,1085,123,0.056858920396741515,-0.056858920396741515
36,3910,4,214,123,1085,0.05685875127875891,-0.05685875127875891
37,30,0,30,63,311,0.05352651131170995,-0.05352651131170995
38,27720,30,0,311,63,0.05351199221322936,-0.05351199221322936
39,6496,7,28,159,287,0.05340737327142952,0.05340737327142952
40,25879,28,7,287,159,0.053396012878183775,0.053396012878183775
41,8346,9,30,183,311,0.051465246788901575,-0.051465246788901575
42,27729,30,9,311,183,0.05146213376809307,-0.05146213376809307
43,80390,87,2,571,111,0.05126443668748785,-0.05126443668748785
44,1935,2,87,111,571,0.051261836806118365,-0.051261836806118365
45,101785,110,145,679,807,0.050714065012253805,0.050714065012253805
46,134090,145,110,807,679,0.05071290901453894,0.05071290901453894
47,80391,87,3,571,119,0.04875007475345852,-0.04875007475345852
48,2859,3,87,119,571,0.04874767481450113,-0.04874767481450113
49,26804,29,8,303,175,0.04530853729719608,-0.04530853729719608
50,7421,8,29,175,303,0.04530743722814147,-0.04530743722814147
51,3781,4,85,123,559,0.04495120094702737,-0.04495120094702737
52,78544,85,4,559,123,0.0449507087338038,-0.0449507087338038
53,431722,467,214,2110,1085,0.04331392463139706,0.04331392463139706
54,198203,214,467,1085,2110,0.04331331051803118,0.04331331051803118
55,82699,89,463,574,2095,0.04296830431454257,0.04296830431454257
56,9243,10,3,187,119,0.042967527102262495,0.042967527102262495
57,427901,463,89,2095,574,0.04296671340944585,0.04296671340944585
58,2782,3,10,119,187,0.042966644978992295,0.042966644978992295
59,81523,88,211,573,1071,0.042949602669826926,-0.042949602669826926
60,195052,211,88,1071,573,0.042945571177499045,-0.042945571177499045
61,3782,4,86,123,567,0.042721295936810164,-0.042721295936810164
62,79468,86,4,567,123,0.04271945898438332,-0.04271945898438332
63,79007,85,467,559,2110,0.04128868968810023,0.04128868968810023
64,431593,467,85,2110,559,0.041285474061759656,0.041285474061759656
65,78754,85,214,559,1085,0.04124885906101495,-0.04124885906101495
66,197821,214,85,1085,559,0.041246226274130084,-0.041246226274130084
67,1858,2,10,111,187,0.040954568199834236,-0.040954568199834236
68,9242,10,2,187,111,0.040952825267781115,-0.040952825267781115
69,79678,86,214,567,1085,0.03936804238267854,-0.03936804238267854
70,431594,467,86,2110,567,0.039366465750937885,0.039366465750937885
71,79931,86,467,567,2110,0.03936601726615212,0.03936601726615212
72,197822,214,86,1085,567,0.03936598325597365,-0.03936598325597365
73,195976,212,88,1079,573,0.0387408512346505,-0.0387408512346505
74,82700,89,464,574,2103,0.038739040960393614,0.038739040960393614
75,428825,464,89,2103,574,0.03873882448745045,0.03873882448745045
76,81524,88,212,573,1079,0.03873800104290074,-0.03873800104290074
77,26826,29,30,303,311,0.03786984665428436,0.03786984665428436
78,27749,30,29,311,303,0.03786616484791486,0.03786616484791486
79,3705,4,9,123,183,0.03762752079123674,0.03762752079123674
80,8320,9,4,183,123,0.03762497885095825,0.03762497885095825
81,27750,30,30,311,311,0.036769252570820685,-0.036769252570820685
82,428748,464,12,2103,190,0.0362682419626807,-0.0362682419626807
83,11552,12,464,190,2103,0.03626706933184106,-0.03626706933184106
84,7396,8,4,175,123,0.035808652592499546,-0.035808652592499546
85,3704,4,8,123,175,0.03580700508993409,-0.03580700508993409
86,10376,11,212,189,1079,0.035640542262215774,0.035640542262215774
87,195899,212,11,1079,189,0.035639641333261945,0.035639641333261945
88,431517,467,9,2110,183,0.03537022618305835,-0.03537022618305835
89,8783,9,467,183,2110,0.03536691181835871,-0.03536691181835871
90,6475,7,7,159,159,0.035262562481491615,-0.035262562481491615
91,134125,145,145,807,807,0.034560690620294814,0.034560690620294814
92,197745,214,9,1085,183,0.03369059917228573,0.03369059917228573
93,8530,9,214,183,1085,0.03368761923264231,0.03368761923264231
94,7606,8,214,175,1085,0.033060183637355,-0.033060183637355
95,197744,214,8,1085,175,0.03305732782095542,-0.03305732782095542
96,431516,467,8,2110,175,0.03284030263227151,0.03284030263227151
97,7859,8,467,175,2110,0.03283907330666521,0.03283907330666521
98,26825,29,29,303,303,0.03257867827785007,-0.03257867827785007
99,10375,11,211,189,1071,0.032551146506249296,-0.032551146506249296
100,194975,211,11,1071,189,0.0325499345288951,-0.0325499345288951
